Parameters;Mean Accuracy;Test on (200, 30, 10, True, 'sqrt', 0.7)
{'rf__n_estimators': 100, 'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__bootstrap': True, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5885271472189034;0.6012478428249037
{'rf__n_estimators': 100, 'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__bootstrap': False, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5880061064648878;
{'rf__n_estimators': 100, 'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__bootstrap': True, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.595957785742732;
{'rf__n_estimators': 100, 'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__bootstrap': False, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5890183193946634;
{'rf__n_estimators': 100, 'rf__max_depth': 30, 'rf__min_samples_split': 2, 'rf__bootstrap': True, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5888026018850391;
{'rf__n_estimators': 100, 'rf__max_depth': 30, 'rf__min_samples_split': 2, 'rf__bootstrap': False, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5898314084694013;
{'rf__n_estimators': 100, 'rf__max_depth': 30, 'rf__min_samples_split': 10, 'rf__bootstrap': True, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5961834594451082;
{'rf__n_estimators': 100, 'rf__max_depth': 30, 'rf__min_samples_split': 10, 'rf__bootstrap': False, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5892041683260322;
{'rf__n_estimators': 200, 'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__bootstrap': True, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5919952210274791;
{'rf__n_estimators': 200, 'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__bootstrap': False, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5983107659630957;
{'rf__n_estimators': 200, 'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__bootstrap': True, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.6000232311164211;
{'rf__n_estimators': 200, 'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__bootstrap': False, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5923768750829682;
{'rf__n_estimators': 200, 'rf__max_depth': 30, 'rf__min_samples_split': 2, 'rf__bootstrap': True, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.592542811628833;
{'rf__n_estimators': 200, 'rf__max_depth': 30, 'rf__min_samples_split': 2, 'rf__bootstrap': False, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5992897915836984;
{'rf__n_estimators': 200, 'rf__max_depth': 30, 'rf__min_samples_split': 10, 'rf__bootstrap': True, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.6001095181202708;
{'rf__n_estimators': 200, 'rf__max_depth': 30, 'rf__min_samples_split': 10, 'rf__bootstrap': False, 'rf__max_features': 'sqrt', 'pca__n_components': 0.7};0.5918757467144564;
